GIF ID,Web Archive Link,GIPHY Title,Score,
1028QpEkAHcNig,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/1028QpEkAHcNig/giphy.gif,new GIF,0.50,
1029PXfSnBt3H2,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/1029PXfSnBt3H2/giphy.gif,sweden reporting GIF,0.50,
102C5uYlEbeJfG,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/102C5uYlEbeJfG/giphy.gif,tech apple watch GIF,0.50,
102cJamHjyLgA0,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/102cJamHjyLgA0/giphy.gif,mad juliette barnes GIF,0.50,
102dwVUMJNi800,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/102dwVUMJNi800/giphy.gif,NA,0.50,
102e3GeB5j4Mzm,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/102e3GeB5j4Mzm/giphy.gif,toilet paper cat GIF,0.50,
102j0P05ns70NW,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/102j0P05ns70NW/giphy.gif,twin peaks black lodge GIF,0.50,
102nX8tlIYDkAM,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/102nX8tlIYDkAM/giphy.gif,disappointed new girl GIF,0.50,
102o8PWLuSsXU4,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/102o8PWLuSsXU4/giphy.gif,whoa GIF,0.50,
102OIIZz7WoVfW,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/102OIIZz7WoVfW/giphy.gif,cheeseburger Sticker by AnimatedText,0.50,
102TCwK83BMA00,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/102TCwK83BMA00/giphy.gif,slasher films GIF,0.50,
102UyCV7LAaDBu,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/102UyCV7LAaDBu/giphy.gif,han solo fighting GIF,0.50,
102VfCWF40oAuI,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/102VfCWF40oAuI/giphy.gif,we did it dancing GIF,0.50,
102vXaMQV3f9WU,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/102vXaMQV3f9WU/giphy.gif,rita hayworth smoking GIF,0.50,
102YbwLuYr0hiM,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/102YbwLuYr0hiM/giphy.gif,dog flee GIF,0.50,
102yInSBC8srqE,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/102yInSBC8srqE/giphy.gif,chelsea potato GIF,0.50,
1031Gg3CiA5ibS,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/1031Gg3CiA5ibS/giphy.gif,horse mask mascara de cavalo GIF,0.50,
1032UdGiWLBmvu,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/1032UdGiWLBmvu/giphy.gif,uk cheer GIF,0.50,
1036m81c1Id692,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/1036m81c1Id692/giphy.gif,meryl streep GIF,0.50,
103c3dyvMqv624,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/103c3dyvMqv624/giphy.gif,the good dinosaur GIF by Disney Pixar,0.50,
